id,input_len,output_len,arrival_time
282,59,12308,321467.098698
283,142,23865,322881.487802
284,116,11906,323059.882699
285,132,20251,324764.490104
286,104,12095,326059.706897
287,56,7956,328032.077624
288,158,28443,331232.604520
289,148,22505,331579.848285
290,124,11962,331649.576941
291,66,16356,332241.308322
292,132,15451,333977.343620
293,94,8056,334965.838772
294,152,11475,336805.162482
295,357,16080,337011.448649
296,66,10094,345140.202955
297,141,9759,345189.889465
298,85,17594,345964.611525
299,54,10960,346999.249465
300,204,10441,347568.295640
301,264,8899,348847.698187
302,118,11109,349297.313824
303,197,17931,349711.801989
304,87,7815,351287.128541
305,82,10761,352723.495182
306,166,7161,353230.311810
307,156,10794,353401.051195
308,78,13905,354310.688794
309,102,20267,355078.521293
310,178,30000,355628.420135
311,1336,20028,356298.256589
312,152,15881,356518.546194
313,508,30000,357017.504683
314,195,5936,359080.646988
315,167,10200,359092.874798
316,143,30000,359208.965969
317,140,12566,359396.843965
318,108,10964,360463.414897
319,99,10997,361407.537558
320,130,11841,361960.738970
321,137,19348,362150.761608
322,65,11709,362170.299520
323,93,9426,363370.196546
324,118,21856,363796.870044
325,113,4599,365065.471631
326,163,6234,367528.071342
327,98,21128,367563.705976
328,155,6437,367936.388314
329,193,12495,370656.207944
330,101,7537,370808.607634
331,253,12113,372673.305557
332,112,16152,375197.543793
333,140,11781,375408.114043
334,102,7461,378464.987350
335,164,30000,378879.436255
336,282,18336,379167.792262
337,152,12920,379210.713201
338,149,20963,380098.770527
339,114,14952,381256.227644
340,217,20920,383075.354701
341,82,9948,383884.426577
342,209,18307,384967.378635
343,181,7202,386306.662477
344,121,5361,387228.994892
345,164,30000,387399.407952
346,66,16955,387444.378852
347,102,11907,387451.028953
348,120,10912,389174.310450
349,66,7270,389261.626219
350,258,11879,390737.093362
351,141,13513,390794.531115
352,102,20267,390969.316768
353,533,30000,391608.968150
354,107,14595,392497.682533
355,394,30000,393517.964340
356,82,12795,394156.935558
357,204,30000,396867.298603
358,130,10121,397200.868816
359,162,24094,398196.919324
360,253,12815,398474.727415
361,184,12824,399051.388525
362,115,12486,399072.586223
363,79,22226,399178.684341
364,86,12689,401546.869580
365,261,12555,401800.491434
366,72,8831,404267.820075
367,185,30000,405746.776398
368,176,9679,406198.112408
369,139,12459,406721.427869
370,140,11196,407987.240869
371,75,12555,408626.556659
372,98,10669,410528.560533
373,121,22150,413018.547301
374,162,11642,413548.178849
375,189,30000,414267.717359
376,107,15653,416252.654664
377,66,23341,417028.791799
378,490,19674,418048.349434
379,144,15207,418283.310957
380,159,27523,419682.969328
381,95,10878,422436.837519
382,109,24318,422557.185878
383,123,9857,426335.263250
384,131,11743,426427.318534
385,177,10975,426443.908127
386,206,30000,427583.920571
387,149,30000,431574.846911
388,123,11022,432381.688821
389,101,14699,433043.940132
390,163,12837,433140.767396
391,76,10561,433979.255635
392,74,9719,436508.773692
393,360,10166,437281.537392
394,116,18739,437503.671321
395,123,7671,441576.978861
396,155,25060,443173.480740
397,102,12399,445065.167411
398,275,12092,447751.869763
399,147,12583,449535.028339
400,93,22291,450584.776513
401,217,16332,451346.803875
402,222,26842,451559.538102
403,123,20435,457544.386561
404,107,15042,457707.764431
405,101,4626,458944.628332
406,388,28168,459244.249737
407,135,9149,460099.873772
408,128,7035,461259.084185
409,107,15653,461524.032627
410,194,12897,462698.729025
411,86,11969,463653.512828
412,216,24771,464799.624701
413,130,7391,465630.176621
414,50,11164,466866.607952
415,84,8169,467267.364808
416,178,23800,470118.606417
417,127,17567,470807.797055
418,116,10484,471182.506635
419,110,30000,471427.117158
420,164,28594,471982.702601
421,144,11868,472388.530313
422,98,10084,472856.571963
423,187,9937,474604.826590
424,104,12497,476634.317760
425,123,8702,477764.367269
426,373,27305,478698.373142
427,198,9416,479428.490550
428,258,11879,480920.548618
429,50,11164,481089.409707
430,141,10293,481486.756805
431,179,12364,481653.126924
432,122,12350,482572.270884
433,148,12301,483368.739129
434,59,12044,483818.175142
435,140,11902,484488.462248
436,151,11516,484803.466492
437,81,8032,485447.881213
438,84,15684,485538.515754
439,114,15568,485611.568495
440,204,30000,487575.251788
441,145,16557,489332.178858
442,132,4866,489417.735957
443,167,14502,489635.706786
444,142,23865,490517.124169
445,133,30000,492283.555858
446,75,5291,494633.529334
447,96,15875,494921.045742
448,234,15423,495132.673145
449,83,30000,496371.900780
450,101,4626,497893.659124
451,152,13617,498224.534825
452,93,9296,498295.101129
453,102,7442,499741.946376
454,83,4475,499975.689610
455,61,21693,500109.051889
456,125,10742,501605.536008
457,82,8911,505109.909068
458,140,23571,506580.245688
459,141,10293,506769.117983
460,423,12726,506987.524125
461,83,18587,509493.038931
462,382,30000,510325.206302
463,55,7947,511472.924148
464,110,30000,512607.823404
465,139,11010,513814.749530
466,175,24957,514208.943406
467,66,10094,514957.121262
468,120,19423,515974.017906
469,94,9372,516566.672628
470,67,1198,517962.755283
471,144,11343,519461.979784
472,57,10575,520325.302512
473,139,22449,521343.680577
474,202,30000,521639.687487
475,97,20085,522437.793749
476,145,12964,522580.091629
477,113,4599,522994.782785
478,145,8248,525268.447494
479,94,15384,527256.403899
480,123,11475,529036.704752
481,102,13121,529134.916926
482,197,6509,531691.044048
483,111,12568,532412.551159
484,94,8056,532901.194526
485,163,6811,532942.170348
486,432,11554,534745.979225
487,212,7047,534974.628471
488,156,7807,535855.993319
489,186,30000,536483.809924
490,158,20162,539196.463669
491,180,22449,540095.600110
492,167,26153,541175.628777
493,239,5567,541578.165827
494,202,18471,541901.984055
495,432,11869,543078.965051
496,106,4866,544459.156536
497,88,12331,545004.579896
498,161,30000,547385.880085
499,195,18202,548096.943773
500,85,6762,548131.773885
501,211,25924,549104.394336
502,198,10195,549506.115676
503,108,9517,549729.210437
504,151,13145,549743.875069
505,176,11187,550047.322312
506,189,11703,551805.320072
507,114,16231,552474.069763
508,238,12305,552729.537907
509,202,18471,555234.744067
510,303,11878,555825.160610
511,83,8432,556587.526758
512,64,12251,556986.239936
513,98,13662,557272.507528
514,220,27115,557728.802242
515,113,11910,558372.426535
516,89,15090,559706.612347
517,149,14605,559916.434539
518,118,19307,561901.305557
519,66,9241,562309.675994
520,130,7391,562329.853596
521,222,30000,563034.737054
522,155,6437,563744.088621
523,182,11873,563922.186664
524,167,22197,564570.012076
525,141,28115,565460.430814
526,139,12459,566520.688768
527,96,7978,570006.554707
528,127,23837,570422.401401
529,176,9575,570567.318121
530,151,15634,570848.635099
531,69,9602,571046.069251
532,218,13973,573781.444310
533,156,22172,574324.368875
534,388,24281,574631.683663
535,204,12062,575151.665459
536,299,17454,577386.578040
537,148,29704,578293.585750
538,80,16027,579650.174331
539,90,9474,580529.444103
540,92,10752,580742.170561
541,110,30000,580994.295152
542,114,11754,581204.081805
543,91,18459,581492.965580
544,104,6119,581657.419494
545,147,7886,581957.753392
546,65,13111,583285.897724
547,154,8691,583308.824929
548,118,18955,583531.824183
549,140,9031,584717.650037
550,55,14100,584998.174821
551,101,14699,585910.968971
552,122,9032,586311.752220
553,123,28048,586521.452543
554,161,11598,591455.271086
555,263,30000,593113.378828
556,253,8170,593843.995632
557,143,21696,595759.990172
558,239,5567,598183.573657
559,584,28193,600253.500255
560,101,2269,600355.861108
561,123,11475,601958.944055
562,178,23579,603273.109274
563,128,7519,606568.624628
564,102,6467,606706.218335
565,432,11869,606800.467286
566,147,30000,606834.065133
567,130,11185,607619.311209
568,79,21037,609908.437351
569,164,29783,610803.316029
570,181,12312,611429.576882
571,157,25223,611708.671390
572,191,19171,613191.453538
573,160,11111,615003.174993
574,152,12086,615851.340892
575,127,12251,617717.035171
576,397,6651,618359.348898
577,138,3810,618697.710650
578,155,9184,618707.495927
579,114,4115,619195.511387
580,145,11760,620267.382110
581,187,17374,621017.992015
582,126,9416,624677.164288
583,133,30000,625265.378137
584,237,10425,625543.476716
585,130,11185,626532.070403
586,64,12909,626538.479458
587,98,30000,627022.367645
588,200,14770,627512.377274
589,263,25248,627746.563876
590,140,18277,627910.013676
591,140,9310,629048.954672
592,189,27356,629533.607923
593,130,16767,629744.647949
594,134,12181,633099.565165
595,90,30000,633652.459421
596,114,11754,633994.241504
597,138,16860,635519.254775
598,208,18198,637361.533363
599,132,11910,638720.085147
600,119,12158,638888.240277
601,151,14630,639726.083210
602,231,23244,641016.713560
603,205,12485,641251.306200
604,145,10547,643061.163742
605,83,3270,643525.860714
606,78,10994,644424.477044
607,83,21399,644991.994711
608,160,19481,645174.104265
609,98,13140,645861.642545
610,238,12305,645966.165221
611,214,11693,646111.829808
612,149,16537,647678.968814
613,141,12138,650802.932045
614,156,9048,652584.555645
615,104,14468,653516.530042
616,133,4755,653635.455838
617,100,8596,655110.122474
618,116,8433,655313.156626
619,208,21467,655741.986405
620,150,9126,656933.197235
621,72,10106,658126.880801
622,182,19176,659195.347390
623,187,16179,662494.205868
624,198,8054,665552.442055
625,128,9240,665889.564945
626,102,18821,667938.169892
627,171,10256,668705.270770
628,102,17019,668857.401572
629,107,20620,669646.586845
630,123,8881,670471.788136
631,167,14502,670824.462612
632,141,10293,673678.770295
633,198,8054,675301.735977
634,80,9696,675452.200480
635,116,10075,675464.784989
636,102,12399,676165.720241
637,91,12535,676610.690443
638,108,24734,677900.375375
639,164,30000,678057.943372
640,138,15328,682858.411576
641,162,14460,683299.854478
642,84,9008,683465.239871
643,126,26237,684309.599292
644,146,25565,684917.642508
645,64,24089,685008.176494
646,132,16200,685436.187820
647,113,12297,685757.917078
648,94,11910,687661.243848
649,62,25624,688111.829809
650,85,19227,691063.318818
651,70,21202,691086.374806
652,119,12158,691108.898339
653,80,19298,691183.099326
654,176,10756,692230.037045
655,176,8215,692446.298292
656,127,9625,694679.014408
657,176,9580,695648.226259
658,432,11809,695841.782513
659,102,23954,696213.363050
660,137,24646,697802.326286
661,508,30000,699228.774217
662,197,19313,699786.003819
663,67,9279,700060.138916
664,93,11494,700567.355222
665,129,12366,702880.969306
666,116,11929,704134.621275
667,382,30000,704353.726917
668,111,11195,704408.418087
669,61,21693,704739.146935
670,106,8421,706886.692754
671,155,7577,708523.319219
672,206,9182,709238.288387
673,66,8362,709981.563662
674,167,11493,710475.800110
675,111,9502,710535.588215
676,123,18563,712802.320340
677,108,30000,715324.155235
678,109,28505,716307.928485
679,214,11167,716323.451112
680,69,11051,717067.078329
681,67,11839,717441.338176
682,84,16171,718358.982344
683,183,21490,718897.926736
684,148,29704,721566.892645
685,106,30000,721913.028751
686,128,5629,723257.629675
687,121,10839,724813.758594
688,155,25060,725423.777980
689,87,12513,725997.543649
690,118,22276,726999.778364
691,133,30000,728282.905270
692,113,24456,729521.891458
693,252,24065,729766.037226
694,78,11434,730957.849243
695,209,18307,733412.767164
696,126,11852,735094.668378
697,78,21666,735102.481811
698,106,11559,736116.469058
699,154,9502,736342.027002
700,159,22384,737572.110281
701,376,15377,737755.804772
702,89,9053,738610.282700
703,144,10734,739149.158590
704,83,7674,739805.051039
705,147,12583,740074.779467
706,151,13145,740390.416989
707,62,25624,742172.560225
708,165,9471,742372.294850
709,170,7837,744008.768440
710,72,8865,744359.150764
711,111,21689,745944.662545
712,156,30000,746100.636863
713,91,11960,748866.554189
714,127,23837,749341.256012
715,84,16032,749702.569618
716,119,13908,751205.138711
717,122,18164,751336.488082
718,271,11243,751443.958109
719,196,30000,752405.847305
720,87,26843,752644.818521
721,140,9732,752693.657947
722,135,6511,752934.810549
723,158,30000,754861.870962
724,192,22150,755243.198619
725,130,11841,756155.976323
726,83,25726,760392.147269
727,197,5935,761135.851812
728,96,8739,761802.572679
729,84,6463,761930.919295
730,101,11228,762503.697479
731,100,8201,763128.072915
732,94,12388,763406.154770
733,91,11867,766405.085399
734,267,11288,771194.012746
735,93,16132,771841.172706
736,189,28659,772029.821919
737,108,5261,774534.127691
738,112,14568,776751.578692
739,203,3247,777489.191558
740,128,7519,778654.572249
741,238,10801,778794.500895
742,173,16203,780666.317259
743,179,12340,781874.837093
744,182,11758,782211.117623
745,123,9449,783105.245552
746,158,27630,783369.271614
747,162,20719,784274.634537
748,101,5152,784630.531061
749,111,11943,785768.605085
750,69,30000,785802.791234
751,198,9416,786151.326857
752,132,11589,786157.750268
753,68,5775,786351.493918
754,135,6421,787395.859173
755,71,24788,788446.751577
756,142,11009,788469.800265
757,81,2469,789088.454853
758,156,8435,789385.552744
759,209,30000,789801.301584
760,134,26379,789962.656469
761,83,6346,791181.437221
762,108,8876,791656.877747
763,95,10878,792905.329753
764,211,30000,793259.336869
765,104,8346,801410.359802
766,135,11430,801566.242261
767,160,19513,802507.777754
768,108,11701,803583.181153
769,91,18459,803940.756890
770,101,7537,804780.929611
771,357,19126,804984.077139
772,489,15623,805674.340330
773,187,17374,808675.155621
774,94,8056,809707.398408
775,151,10187,811139.138305
776,157,20846,812369.298468
777,132,12086,812415.071210
778,226,30000,813337.488456
779,148,9716,814603.506490
780,116,10484,815406.687991
781,182,11758,816013.062784
782,490,12390,816083.190564
783,154,10625,816940.560031
784,177,30000,818314.969097
785,122,9859,818679.272601
786,78,21666,818942.752902
787,81,10356,819293.219057
788,111,9502,822703.120328
789,357,16074,823418.904196
790,118,9754,825078.818669
791,126,10578,826386.766819
792,161,30000,826557.129671
793,162,24094,827707.565411
794,74,10799,829104.014665
795,113,11910,829646.760270
796,85,25277,829933.557685
797,137,30000,830048.751947
798,178,17474,830231.131836
799,104,20096,831715.712183
800,157,9453,831900.016468
801,80,17111,832166.230232
802,95,20925,833730.108748
803,100,12540,834005.912132
804,203,16559,834090.765479
805,99,7885,834279.408466
806,56,7956,835513.335276
807,303,11911,835520.583157
808,125,25131,838092.877018
809,98,7988,838325.949571
810,123,30000,839152.541033
811,215,30000,840040.552640
812,172,9770,840950.851874
813,57,11968,842202.896052
814,120,16876,843255.988370
815,217,19989,843454.127073
816,134,11239,846962.944391
817,97,12854,848879.424708
818,126,30000,851690.208618
819,140,9310,852518.071258
820,105,13955,852748.013618
821,394,30000,852753.481075
822,87,12513,853285.618455
823,106,17588,853534.657529
824,118,16188,853893.854800
825,143,29884,857254.239079
826,154,7038,857254.754104
827,89,24349,859873.211488
828,533,30000,860184.883720
829,112,14568,860741.615132
830,238,12296,861330.065648
831,182,11758,862239.344681
832,86,11885,863016.062737
833,102,18027,863687.608991
834,423,14315,864017.148264
835,107,30000,867586.845689
836,99,4751,867791.986324
837,101,11228,868592.128524
838,261,12555,868989.955430
839,147,11359,870738.126888
840,271,10026,872351.899626
841,166,12103,872426.748852
842,109,16706,872441.905653
843,90,12048,873172.802296
844,93,5456,874373.891203
845,160,13637,877203.380233
846,114,4827,877321.441581
847,219,30000,878574.196635
848,78,15887,879792.121594
849,107,18653,880188.730606
850,123,11475,881872.539322
851,146,6377,883237.912015
852,140,10895,884005.143233
853,468,25460,884059.244461
854,138,7517,884611.023852
855,126,18359,884757.819114
856,156,7807,887259.427080
857,87,7815,887970.324153
858,135,5442,888153.194982
859,70,8453,889108.308829
860,80,14932,890250.690496
861,101,5794,891415.505278
862,121,11668,892736.517341
863,220,30000,893135.418714
864,183,16009,893423.954301
865,93,12662,894654.098020
866,141,11618,895260.813321
867,119,12158,896265.269744
868,168,15711,896662.704068
869,205,10697,897307.249133
870,102,21579,897637.738945
871,81,2469,898298.191179
872,185,7674,899212.208143
873,99,4745,900256.028517
874,135,5853,900434.107709
875,134,9863,900654.733601
876,184,21635,901034.775994
877,131,12068,902711.109375
878,124,7294,904562.055111
879,151,13145,905958.498542
880,195,5936,906583.936605
881,62,18382,907289.730637
882,121,11870,908154.576788
883,135,8950,909064.349624
884,120,12324,910855.226192
885,175,26088,911998.286029
886,140,15241,912172.079713
887,468,30000,913147.801234
888,160,11369,913148.352561
889,123,30000,914950.403253
890,50,15752,916093.257115
891,87,22696,916349.436458
892,148,13097,917545.086744
893,202,26031,917984.725652
894,489,15858,918628.524270
895,130,11185,920464.535447
896,120,14138,920715.180343
897,155,28175,921897.805004
898,141,10293,924131.969096
899,138,14006,925942.365523
900,135,30000,926355.716401
901,83,21399,929597.738473
902,109,28505,929605.225210
903,123,30000,930009.192708
904,93,16132,931081.411977
905,179,11823,931873.760141
906,258,10745,933788.107074
907,103,7783,934858.337455
908,113,11366,935669.523742
909,106,17341,935777.027887
910,107,20620,935930.992670
911,204,13664,936557.933144
912,88,12147,937153.977068
913,225,24089,940374.601927
914,134,28496,942324.878592
915,202,9825,947775.036589
916,76,10561,947893.240392
917,149,18137,949629.759184
918,194,28300,949904.063124
919,98,12116,950492.841934
920,100,7010,951027.271243
921,112,19616,951743.030402
922,114,7761,952040.810952
923,133,10001,952509.169621
924,121,6260,952557.820133
925,139,27871,954815.115691
926,121,13582,955215.575110
927,217,23551,958662.459873
928,99,10997,959441.138164
929,102,26628,960263.550958
930,94,11910,960848.139549
931,202,30000,961121.008756
932,91,21506,962418.677656
933,93,11221,962640.559935
934,117,8341,964367.342766
935,238,12566,967418.642949
936,189,27356,969685.834312
937,157,9238,971657.964124
938,118,10972,972258.603344
939,160,30000,973036.714576
940,158,6546,974870.731171
941,74,16037,975311.344787
942,119,7663,976182.451097
943,83,30000,977075.456431
944,111,9502,978468.032600
945,125,7593,979235.779678
946,123,24079,979736.277939
947,93,11221,980342.192835
948,137,15276,981414.427260
949,110,11047,982864.403746
950,112,11732,982964.751552
951,113,16977,984105.691243
952,490,17729,985714.658576
953,140,9031,986392.857108
954,163,10970,986586.382289
955,105,6427,987744.869737
956,170,18809,988538.262186
957,160,11369,989085.893573
958,219,30000,989591.304134
959,132,4866,990026.340147
960,125,9357,990132.622390
961,150,12387,990983.632868
962,100,8596,991742.441233
963,107,25448,991852.342131
964,226,24649,992102.958261
965,166,11029,992348.433380
966,141,19474,992936.724975
967,104,10698,992938.510993
968,135,4847,994471.886769
969,231,23244,995082.017024
970,121,9628,995566.042182
971,141,19646,996053.470461
972,88,8851,997462.700644
973,214,15517,998077.792775
974,114,8582,998094.874312
975,202,8084,998979.065551
976,111,19630,999029.064765
977,169,17411,999072.982070
978,164,30000,999807.536878
979,104,28021,1000123.906057
980,196,10984,1000639.331403
981,99,5037,1001301.025353
982,139,9794,1001394.822105
983,187,20485,1001863.170241
984,78,14022,1005218.156673
985,185,13232,1006815.068404
986,94,15384,1007652.186114
987,135,4847,1008941.608923
988,107,10702,1009032.802819
989,126,10007,1009370.576326
990,152,12566,1010089.979998
991,170,12315,1010517.334272
992,263,25248,1010801.008778
993,215,30000,1011299.774947
994,198,22569,1012639.181247
995,93,11799,1014021.625345
996,126,12984,1014580.857155
997,98,30000,1016818.268980
998,234,17298,1017576.644738
999,160,17400,1020542.450401
1000,101,6757,1022049.413065
1001,221,23305,1022599.216671
1002,105,8568,1023045.378384
1003,181,12889,1023933.803889
1004,86,18621,1027861.970582
1005,126,17785,1028080.937788
1006,70,4148,1028197.981268
1007,77,15853,1028533.975526
1008,161,30000,1028711.984122
1009,67,11839,1028985.603265
1010,65,13111,1029145.604015
1011,133,12562,1031747.872353
1012,258,12542,1033230.550100
1013,102,11907,1034007.087096
1014,190,28243,1034361.028281
1015,175,30000,1034620.215170
1016,127,19626,1035755.999840
1017,328,28103,1036276.065932
1018,202,21935,1036636.019264
1019,128,6196,1037428.806179
1020,94,10264,1038357.343129
1021,151,18834,1040264.551611
1022,148,8895,1040336.901853
1023,191,30000,1042006.613332
1024,155,6646,1042081.030474
1025,98,23309,1043658.779452
1026,162,18332,1043679.464266
1027,156,10457,1044687.901840
1028,75,12555,1047392.179103
1029,154,10440,1047505.798369
1030,209,30000,1048281.325560
1031,90,29308,1048962.553530
1032,468,30000,1051567.218224
1033,158,13584,1054316.599468
1034,167,8095,1059022.391801
1035,113,18441,1059887.896992
1036,397,9303,1059911.864497
1037,146,30000,1061646.739766
1038,229,30000,1061732.313852
1039,124,12994,1064824.795580
1040,432,11869,1065986.890290
1041,114,14447,1068867.127873
1042,155,6196,1068970.809544
1043,209,18307,1069054.110828
1044,80,14932,1072791.172831
1045,128,29067,1073204.156617
1046,207,21619,1073507.130424
1047,119,8546,1076323.275457
1048,151,15611,1077532.819272
1049,118,4622,1078866.191663
1050,144,7468,1080139.250040
1051,176,30000,1080683.523914
1052,168,30000,1082412.382413
1053,220,30000,1083577.525003
1054,162,22102,1085639.671338
1055,84,11847,1085836.555582
1056,119,3463,1086140.066594
1057,102,10533,1086346.291702
1058,116,4685,1087349.596420
1059,126,26237,1087378.991199
1060,132,10314,1087711.943606
1061,429,21111,1088178.325203
1062,191,18519,1089588.541119
